time,flow
0.0,0.208
0.5,0.214
1.0,0.206
1.5,0.209
2.0,0.202
2.5,0.204
3.0,0.21
3.5,0.207
4.0,0.214
4.5,0.206
5.0,0.205
5.5,0.204
6.0,0.211
6.5,0.203
7.0,0.214
7.5,0.208
8.0,0.205
8.5,0.212
9.0,0.202
9.5,0.204
10.0,0.207
10.5,0.206
11.0,0.205
11.5,0.205
12.0,0.212
12.5,0.207
13.0,0.207
13.5,0.212
14.0,0.211
14.5,0.212
15.0,0.206
15.5,0.206
16.0,0.207
16.5,0.204
17.0,0.209
17.5,0.214
18.0,0.214
18.5,0.203
19.0,0.206
19.5,0.205
20.0,0.212
20.5,0.209
21.0,0.203
21.5,0.21
22.0,0.206
22.5,0.205
23.0,0.204
23.5,0.213
24.0,0.212
24.5,0.213
25.0,0.209
25.5,0.202
26.0,0.205
26.5,0.214
27.0,0.211
27.5,0.208
28.0,0.21
28.5,0.209
29.0,0.208
29.5,0.212
30.0,0.204
