time,temp_soll,feuchte_soll,temp_regelung,feuchte_regelung,profil_wetter
2024-01-01 00:00:00,1.0,88.7,True,True,winter
2024-01-01 00:10:00,1.1,88.9,True,True,winter
2024-01-01 00:20:00,1.0,89.4,True,True,winter
2024-01-01 00:30:00,1.0,88.9,True,True,winter
2024-01-01 00:40:00,1.1,88.5,True,True,winter
2024-01-01 00:50:00,1.1,88.6,True,True,winter
2024-01-01 01:00:00,1.0,88.7,True,True,winter
2024-01-01 01:10:00,1.1,88.3,True,True,winter
2024-01-01 01:20:00,1.1,89.6,True,True,winter
2024-01-01 01:30:00,1.1,89.1,True,True,winter
2024-01-01 01:40:00,1.0,89.2,True,True,winter
2024-01-01 01:50:00,0.9,89.7,True,True,winter
2024-01-01 02:00:00,0.9,90.1,True,True,winter
2024-01-01 02:10:00,0.8,90.0,True,True,winter
2024-01-01 02:20:00,0.9,89.7,True,True,winter
2024-01-01 02:30:00,1.0,88.9,True,True,winter
2024-01-01 02:40:00,1.1,88.8,True,True,winter
2024-01-01 02:50:00,1.0,88.3,True,True,winter
2024-01-01 03:00:00,1.1,88.1,True,True,winter
2024-01-01 03:10:00,1.0,88.0,True,True,winter
2024-01-01 03:20:00,1.0,88.6,True,True,winter
2024-01-01 03:30:00,1.0,89.0,True,True,winter
2024-01-01 03:40:00,1.1,89.4,True,True,winter
2024-01-01 03:50:00,1.0,89.7,True,True,winter
2024-01-01 04:00:00,0.9,90.3,True,True,winter
2024-01-01 04:10:00,0.9,89.8,True,True,winter
2024-01-01 04:20:00,0.8,90.4,True,True,winter
2024-01-01 04:30:00,0.7,90.8,True,True,winter
2024-01-01 04:40:00,0.4,91.1,True,True,winter
2024-01-01 04:50:00,0.3,91.5,True,True,winter
2024-01-01 05:00:00,0.2,90.9,True,True,winter
2024-01-01 05:10:00,0.2,91.3,True,True,winter
2024-01-01 05:20:00,0.3,89.9,True,True,winter
2024-01-01 05:30:00,0.4,89.2,True,True,winter
2024-01-01 05:40:00,0.3,90.4,True,True,winter
2024-01-01 05:50:00,0.3,90.6,True,True,winter
2024-01-01 06:00:00,0.3,89.9,True,True,winter
2024-01-01 06:10:00,0.3,90.2,True,True,winter
2024-01-01 06:20:00,0.3,90.0,True,True,winter
2024-01-01 06:30:00,0.3,89.9,True,True,winter
2024-01-01 06:40:00,0.3,90.2,True,True,winter
2024-01-01 06:50:00,0.3,90.0,True,True,winter
2024-01-01 07:00:00,0.2,90.1,True,True,winter
2024-01-01 07:10:00,0.2,90.6,True,True,winter
2024-01-01 07:20:00,0.3,90.2,True,True,winter
2024-01-01 07:30:00,0.3,90.0,True,True,winter
2024-01-01 07:40:00,0.4,89.8,True,True,winter
2024-01-01 07:50:00,0.4,89.3,True,True,winter
2024-01-01 08:00:00,0.5,88.7,True,True,winter
2024-01-01 08:10:00,0.6,88.9,True,True,winter
2024-01-01 08:20:00,0.6,87.8,True,True,winter
2024-01-01 08:30:00,0.7,86.8,True,True,winter
2024-01-01 08:40:00,0.8,86.6,True,True,winter
2024-01-01 08:50:00,0.9,86.1,True,True,winter
2024-01-01 09:00:00,0.8,85.5,True,True,winter
2024-01-01 09:10:00,0.9,86.0,True,True,winter
2024-01-01 09:20:00,1.2,83.3,True,True,winter
2024-01-01 09:30:00,1.5,79.8,True,True,winter
2024-01-01 09:40:00,1.4,81.6,True,True,winter
2024-01-01 09:50:00,1.4,81.8,True,True,winter
2024-01-01 10:00:00,1.6,81.1,True,True,winter
2024-01-01 10:10:00,1.8,82.0,True,True,winter
2024-01-01 10:20:00,2.1,79.3,True,True,winter
2024-01-01 10:30:00,2.2,77.8,True,True,winter
2024-01-01 10:40:00,2.5,77.2,True,True,winter
2024-01-01 10:50:00,2.5,76.4,True,True,winter
2024-01-01 11:00:00,2.4,77.1,True,True,winter
2024-01-01 11:10:00,2.2,79.3,True,True,winter
2024-01-01 11:20:00,2.3,81.8,True,True,winter
2024-01-01 11:30:00,2.4,80.8,True,True,winter
2024-01-01 11:40:00,2.5,77.8,True,True,winter
2024-01-01 11:50:00,2.5,77.3,True,True,winter
2024-01-01 12:00:00,2.5,77.1,True,True,winter
2024-01-01 12:10:00,2.7,76.4,True,True,winter
2024-01-01 12:20:00,2.6,76.3,True,True,winter
2024-01-01 12:30:00,2.5,76.5,True,True,winter
2024-01-01 12:40:00,2.4,75.8,True,True,winter
2024-01-01 12:50:00,2.5,76.9,True,True,winter
2024-01-01 13:00:00,2.4,75.8,True,True,winter
2024-01-01 13:10:00,2.4,76.9,True,True,winter
2024-01-01 13:20:00,2.4,77.6,True,True,winter
2024-01-01 13:30:00,2.4,76.6,True,True,winter
2024-01-01 13:40:00,2.4,76.8,True,True,winter
2024-01-01 13:50:00,2.4,77.0,True,True,winter
2024-01-01 14:00:00,2.3,77.0,True,True,winter
2024-01-01 14:10:00,2.3,77.7,True,True,winter
2024-01-01 14:20:00,2.3,78.5,True,True,winter
2024-01-01 14:30:00,2.2,79.5,True,True,winter
2024-01-01 14:40:00,2.2,80.4,True,True,winter
2024-01-01 14:50:00,2.0,81.4,True,True,winter
2024-01-01 15:00:00,2.0,81.6,True,True,winter
2024-01-01 15:10:00,2.0,82.3,True,True,winter
2024-01-01 15:20:00,2.0,82.6,True,True,winter
2024-01-01 15:30:00,2.0,82.4,True,True,winter
2024-01-01 15:40:00,1.9,82.1,True,True,winter
2024-01-01 15:50:00,1.9,82.1,True,True,winter
2024-01-01 16:00:00,1.9,82.1,True,True,winter
2024-01-01 16:10:00,1.9,82.2,True,True,winter
2024-01-01 16:20:00,1.8,83.9,True,True,winter
2024-01-01 16:30:00,1.7,84.5,True,True,winter
2024-01-01 16:40:00,1.8,84.0,True,True,winter
2024-01-01 16:50:00,1.8,84.4,True,True,winter
2024-01-01 17:00:00,1.8,83.8,True,True,winter
2024-01-01 17:10:00,1.8,84.4,True,True,winter
2024-01-01 17:20:00,1.8,84.2,True,True,winter
2024-01-01 17:30:00,1.8,84.6,True,True,winter
2024-01-01 17:40:00,1.8,83.5,True,True,winter
2024-01-01 17:50:00,1.8,84.0,True,True,winter
2024-01-01 18:00:00,1.8,84.8,True,True,winter
2024-01-01 18:10:00,1.8,85.0,True,True,winter
2024-01-01 18:20:00,1.7,85.8,True,True,winter
2024-01-01 18:30:00,1.7,85.5,True,True,winter
2024-01-01 18:40:00,1.8,85.3,True,True,winter
2024-01-01 18:50:00,1.8,85.4,True,True,winter
